ticker;tipo;aplicar;empresa;setor;confianca;nome_sistema;ativo_canonico_id
BODB11;ETF;NAO - ETF sem emissor;;;;FIC FI BCNA CI  ER;1fb67002-fc18-4cbc-a8c7-105d6dc783e4
BODI11;ETF;NAO - ETF sem emissor;;;;FIC FI BODI CI  ER;360eccea-7091-41c7-a564-37b3d96e74de
BOVA11;ETF;NAO - ETF sem emissor;;;;ISHARES BOVACI;610d5aab-afd3-453d-86af-b1754ca91350
BURA39;ETF;NAO - ETF sem emissor;;;;GX URANIUM  DRE;39b335be-3f4b-44ce-a0b9-9d8e330a5b64
CDII11;ETF;NAO - ETF sem emissor;;;;SPARTA CDII CI  ER;0b641db1-8d6f-4f18-addb-3e5c83653774
CHIP11;ETF;NAO - ETF sem emissor;;;;INVESTO CHIPCI;63403f7f-6196-4879-9f75-f02f16a6fae4
DIVD11;ETF;NAO - ETF sem emissor;;;;IT NOW DIVD CI;adda3653-f12f-4304-b632-0e83eaa156cb
DOLA11;ETF;NAO - ETF sem emissor;;;;BB ETF DOLARCI;60e0a1da-c3be-41d1-93aa-1b4030d78d96
FIND11;ETF;NAO - ETF sem emissor;;;;IT NOW IFNC CI;bdaeef5c-49b2-4bb6-89d7-4dbb9f8b72a4
GOLD11;ETF;NAO - ETF sem emissor;;;;TREND OURO  CI;d76a733a-665f-47a3-bee8-1731a9555695
HASH11;ETF;NAO - ETF sem emissor;;;;HASHDEX NCI CI;d327f012-c7de-4296-b47e-ef97eb32e535
HODL11;ETF;NAO - ETF sem emissor;;;;INVESTO HODLCI;0a02c2ac-4860-4ba8-8bdb-75b7985e2b46
HYBR11;ETF;NAO - ETF sem emissor;;;;NUIBOXXBRLHYF11;f6dfaab7-7390-4820-9a3e-f6de2934446f
IDKA11;ETF;NAO - ETF sem emissor;;;;IT NOW PRE 3F11;54c3283b-78fc-41f8-854b-8aae94e07d97
IMAB11;ETF;NAO - ETF sem emissor;;;;IT NOW IMA-BF11;6d284cd8-4c66-4549-bfba-6576d8522c8a
IRFM11;ETF;NAO - ETF sem emissor;;;;IT NOW IRF-MF11;18918bc3-c71d-47f6-8344-5e971af9bc48
IVVB11;ETF;NAO - ETF sem emissor;;;;ISHARE SP500CI;b7809dbe-b5cd-4d5c-8ad2-ab7c6f28acd8
IWMI11;ETF;NAO - ETF sem emissor;;;;ETF BV IWMI CI;36ba7d64-7ce3-41f8-9dfb-074a04cce0c5
JOGO11;ETF;NAO - ETF sem emissor;;;;INVESTO JOGOCI;04b0a019-1870-4d05-adfd-62bc40c475e1
JURO11;ETF;NAO - ETF sem emissor;;;;SPARTA INFRACI  ER;f46a143c-2192-48bb-911e-67159e9b12d2
LFTB11;ETF;NAO - ETF sem emissor;;;;INVESTO LFTBF11;41fade26-6eca-44ad-a5ee-9420da6aeb93
LFTS11;ETF;NAO - ETF sem emissor;;;;INVESTO LFTSF11;332448ee-e926-497b-a455-216fe68ca885
QQQI11;ETF;NAO - ETF sem emissor;;;;ETF BV QQQI CI;8e748019-7e24-4b0e-a4eb-e64ed287af71
SMAC11;ETF;NAO - ETF sem emissor;;;;IT NOW SMALLCI;76d9a306-ed7f-41a0-a3b4-56d2223033cd
SMAL11;ETF;NAO - ETF sem emissor;;;;ISHARES SMALCI;b910bf5b-7bf1-4f79-ab74-358524ace58b
SPXI11;ETF;NAO - ETF sem emissor;;;;IT NOW SPXI CI;8736208a-c1ee-4400-9521-dd07834dbecf
USDB11;ETF;NAO - ETF sem emissor;;;;INVESTO USDBCI;25fcba8e-1eee-4b88-9ba4-5e3202dc7dd0
WEB311;ETF;NAO - ETF sem emissor;;;;SMART HASH  CI;f473e3f7-ae58-43fd-a243-7cc6ab05e699
WRLD11;ETF;NAO - ETF sem emissor;;;;INVESTO WRLDCI;dfb9c91e-e42b-47dd-a19b-fd2d05f508cc
AZIN11;FII;NAO - master revisa;AZ Quest;Infraestrutura & Transporte;media;AZQ INFRA IICI;2656f6ec-72d8-4d99-a8c6-e2a583a4dcc9
ALZR11;FII;NAO - master revisa;Alianza Gestão;Imobiliário;media;FII ALIANZA CI;0c27830c-7cbd-4f49-8607-3110c5202bf8
BPML11;FII;SIM;BTG Pactual;Imobiliário;alta;FII BTG SHOPCI;3ff3d487-2313-4a1d-b018-248102f37aab
BRCR11;FII;NAO - master revisa;BTG Pactual;Imobiliário;media;FII BC FUND CI  ER;914178ab-2cd6-4d64-8346-d9391985efb5
BTAG11;FII;SIM;BTG Pactual;Agronegócio;alta;FIAGRO BTAG CI  ER;03907639-af47-4afd-a86e-8e331c3fe175
BTCI11;FII;SIM;BTG Pactual;Imobiliário;alta;FII BTG CRI CI  ER;a334191b-689d-4647-bb94-e064b30d1c58
BTHF11;FII;SIM;BTG Pactual;Imobiliário;alta;FII BTHF    CI  ER;c197d403-6539-430c-b1b6-b23084078c22
BTLG11;FII;SIM;BTG Pactual;Imobiliário;alta;FII BTLG    CI;59a6022b-1dbf-47fd-9396-9dd1eba55063
BTLG15;FII;SIM;BTG Pactual;Imobiliário;alta;FII BTLG    REC;b0e36dbb-fc0f-4b06-ab51-18e6346763ba
BRCO11;FII;NAO - master revisa;Bresco;Imobiliário;media;FII BRESCO  CI  ER;f434e468-c9ca-41ce-83a8-676e43a3b98d
CPTI11;FII;NAO - master revisa;Capitânia;Infraestrutura & Transporte;media;FIC IE CAP  CI  ER;740408a7-ad59-4903-abd6-8e53cbc8f3f2
CPTS11;FII;NAO - master revisa;Capitânia;Imobiliário;media;FII CAPI SECCI;e6e92ad7-efd5-48a2-840e-e42cee597e95
DEVA11;FII;NAO - master revisa;Devant;Imobiliário;media;FII DEVANT  CI  ER;d8cd49ef-c145-4446-ac4c-f99de00102d3
EXES11;FII;NAO - master revisa;Exes;Imobiliário;media;FII EXES    CI;180eb806-834d-4d2a-9913-1c8186c5f98e
FGAA11;FII;NAO - master revisa;FG/A;Agronegócio;media;FIAGRO FGA  CI  ER;ba888ed7-d03a-439c-9241-4163827908dd
CPLG11;FII;NAO - master revisa;FII CPLG;Imobiliário;media;FII CPLG    CI  ER;fdb54c78-81d5-4cfe-8c1b-846760a320b9
CNES11;FII;NAO - master revisa;FII Cenesp;Imobiliário;media;FII CENESP  CI;3a36fedf-7f49-4ac9-98ec-631020116401
PLAG11;FII;NAO - master revisa;FII PLAG;Imobiliário;media;FII PLAG    CI  ER;cfc9496c-583a-400e-9d41-d5fd427f2da9
GGRC11;FII;NAO - master revisa;GGR;Imobiliário;media;FII GGR ZAG CI  ER;90197027-3df6-4c73-b796-99762180abbd
GZIT11;FII;NAO - master revisa;Gazit;Imobiliário;media;FII GAZIT   CI;0a48f4ff-a636-4a4b-936c-021541e736ee
GTWR11;FII;NAO - master revisa;Green Towers;Imobiliário;media;FII G TOWERSCI  ER;1136be1d-e6ea-4347-b82b-a09f822ebf4e
GARE11;FII;NAO - master revisa;Guardian;Imobiliário;media;FII GUARDIANCI  ER;42b37aed-79cf-4c7f-86ca-6ab4f46c88a7
HSML11;FII;NAO - master revisa;HSI;Imobiliário;media;FII HSI MALLCI  ER;4780474d-b5d2-4e5a-a909-b3633047e3fa
HFOF11;FII;NAO - master revisa;Hedge Investments;Imobiliário;media;FII HTOPFOF3CI  ER;be518ad2-2412-41c8-805b-599a4fdf4ad1
HGBS11;FII;NAO - master revisa;Hedge Investments;Imobiliário;media;FII HEDGEBS CI  ER;a524f8d4-4c20-476a-8e03-639e8587c821
JSAF11;FII;NAO - master revisa;J Safra;Imobiliário;media;FII JS A FINCI  ER;273e4903-e793-4cc4-84ae-100587a68748
KFOF11;FII;SIM;Kinea;Imobiliário;alta;FII KINEAFOFCI  ER;8c84f4c2-c75e-429d-90f3-705facc2f333
KNCR11;FII;SIM;Kinea;Imobiliário;alta;FII KINEA RICI  ER;60148e48-fd81-4b9a-b4f0-0ff2fc3ca858
KNHY11;FII;SIM;Kinea;Imobiliário;alta;FII KINEA HYCI  ER;aa21b9db-f333-4672-b6e5-559fafa095fd
KNIP11;FII;SIM;Kinea;Imobiliário;alta;FII KINEA IPCI  ER;d27c0c02-4985-4551-8cb4-e0ed3740a26d
KNUQ11;FII;SIM;Kinea;Imobiliário;alta;FII KINEA UNCI  ER;e5f380d5-8758-4944-9bf0-20b2ca808d07
MCCI11;FII;NAO - master revisa;Mauá Capital;Imobiliário;media;FII MAUA    CI;20a5ffb3-2d40-4a86-9b3a-ba0131539202
MCRE11;FII;NAO - master revisa;Mauá Capital;Imobiliário;media;FII MAUA RE CI;518e062b-891c-4791-bc5e-e5d883b38904
HGLG11;FII;NAO - master revisa;Pátria;Imobiliário;media;FII HGLG PAXCI  ER;b888cc94-dc06-492f-81c2-774e61a08274
HGRU11;FII;NAO - master revisa;Pátria;Imobiliário;media;FII HGRU PAXCI  ERS;6ab0ba9a-2cba-4d37-b940-830dd7e3b2e4
HGRU12;FII;NAO - master revisa;Pátria;Imobiliário;media;FII HGRU PAXDM  128,87;d6501e56-123c-4782-8bec-fef0f475d7b7
PCIP11;FII;NAO - master revisa;Pátria;Imobiliário;media;FII PCIP PAXCI;5184d1f4-2502-4783-ac5d-fac917f76dfa
PMLL11;FII;NAO - master revisa;Pátria;Imobiliário;media;FII PMLL PAXCI  ER;e3d8b869-343d-498e-964d-79f6d335322a
RBRL11;FII;NAO - master revisa;RBR Asset;Imobiliário;media;FII RBRL PAXCI  ER;b2c08c1d-4031-482d-a3e7-adc3e1cae756
RBRR11;FII;NAO - master revisa;RBR Asset;Imobiliário;media;FII RBRR PAXCI;358aa7bf-b74a-489b-823e-421ffeb160d3
RBRX11;FII;NAO - master revisa;RBR Asset;Imobiliário;media;FII RBRX PAXCI;433aafd0-cc18-4f1c-88ec-d509bfccd011
RBRY11;FII;NAO - master revisa;RBR Asset;Imobiliário;media;FII RBRY PAXCI;e6c14133-c276-4c46-858a-bb2e98bb912d
RECR11;FII;NAO - master revisa;REC Gestão;Imobiliário;media;FII REC RECECI  ER;8450862d-5320-444e-9d53-3ea92060a9cc
RECR12;FII;NAO - master revisa;REC Gestão;Imobiliário;media;FII REC RECEDM   89,00;93c5ddcd-f0c5-4d49-91b0-47871e9dea0a
RBVA11;FII;NAO - master revisa;Rio Bravo;Imobiliário;media;FII RIOB VA CI  ER;acfcf35f-f011-43bf-a287-5b07ee227b34
RZAK11;FII;NAO - master revisa;Riza;Imobiliário;media;FII RIZA AKNCI;3260edd3-7232-48ed-ad13-eaef20f58ea6
RZAT11;FII;NAO - master revisa;Riza;Imobiliário;media;FII ARCTIUM CI;dfbf98bc-823b-4300-ac27-a80fa2e57ea8
RZTR11;FII;NAO - master revisa;Riza;Imobiliário;media;FII RIZA TX CI  ER;d1e6abd3-d5a4-4d17-a158-cdc4a2593614
SNAG11;FII;NAO - master revisa;Suno;Agronegócio;media;FIAGRO SUNO CI;2b77ee9d-7e5f-4611-b334-6ff8c52e27ca
SNCI11;FII;NAO - master revisa;Suno;Imobiliário;media;FII SUNO CRICI;6fac0732-e456-4da5-a676-69e24708f013
TGAR11;FII;NAO - master revisa;TG Core;Imobiliário;media;FII TG ATIVOCI  ER;59ecaab2-9e72-4722-b0fa-8d670195a801
TRXF11;FII;NAO - master revisa;TRX;Imobiliário;media;FII TRX REALCI  ER;28448dd5-ad46-43a3-a071-1ebe49d3702e
TEPP11;FII;NAO - master revisa;Tellus;Imobiliário;media;FII TEL PROPCI  ER;68f36b66-3892-452f-a6d3-bd14165323c9
TEPP12;FII;NAO - master revisa;Tellus;Imobiliário;media;FII TEL PROPDM    9,71;8b59f2c9-1042-4904-882d-125de368d752
PATL11;FII;NAO - master revisa;VBI;Imobiliário;media;FII PATL VBICI;3044d6b8-68e8-4bdc-bb2c-1cbd874b2663
PVBI11;FII;NAO - master revisa;VBI;Imobiliário;media;FII PVBI VBICI  ER;f2cb429e-972c-461c-a168-fe37c24c173a
VGHF11;FII;NAO - master revisa;Valora;Imobiliário;media;FII VALOR HECI  ER;0a21674d-7a38-4c8b-bdd2-c3414c3ca188
VILG11;FII;NAO - master revisa;Vinci Partners;Imobiliário;media;FII VINCI LGCI  ER;025db07d-9745-4379-9e5c-41491d2d6b90
VISC11;FII;NAO - master revisa;Vinci Partners;Imobiliário;media;FII VINCI SCCI  ER;b4f69fc9-8d1d-4672-ae71-04658ba37e0a
MXRF11;FII;NAO - master revisa;XP Asset;Imobiliário;media;FII MAXI RENCI  ER;bcbb4d10-a431-4eed-b0ec-0e9866173cef
XPML11;FII;NAO - master revisa;XP Asset;Imobiliário;media;FII XP MALLSCI;57fafd63-2243-419b-8481-10f839db80ff
