identificador;casado_por;tipo_id;nome_sistema;classe_sistema;classe_base2;status;ativo_canonico_id
59939757000198;;CNPJ;AZ QUEST INFRA-YIELD VII FIP INFRA;Multimercado;;SEM_COBERTURA_BASE2;99965205-853d-437a-a7ee-d9a85a9ebcfa
BRAZINCTF019;;ISIN;AZQ INFRA IICI;Renda Variável;;SEM_COBERTURA_BASE2;2656f6ec-72d8-4d99-a8c6-e2a583a4dcc9
57027655000170;;CNPJ;Absolute Hidra CDI Plus P Infra RF RL;Multimercado;;SEM_COBERTURA_BASE2;e9573e23-8a98-4a4f-9c72-f79db4424cb6
45830738000114;;CNPJ;Artesanal Credito Privado 30 FIDC RL;Multimercado;;SEM_COBERTURA_BASE2;315ec188-8f72-45c4-8db1-438cc5240aae
20441301000168;;CNPJ;Artesanal Credito Privado FICFIM;Multimercado;;SEM_COBERTURA_BASE2;2b2d467b-2eda-4a73-a18a-ef187b33ace4
24773832000109;;CNPJ;Artesanal Renda Fixa FIRF;Multimercado;;SEM_COBERTURA_BASE2;89c4f182-4486-415e-87c1-b4f02ee521a6
BRDOLACTF018;;ISIN;BB ETF DOLARCI;Renda Variável;;SEM_COBERTURA_BASE2;60e0a1da-c3be-41d1-93aa-1b4030d78d96
BRBIXCBDR008;;ISIN;BKR GLB ENERDRE;Renda Variável;;SEM_COBERTURA_BASE2;5271d9d0-ec9e-4747-a683-076de46c4305
BRBGOVBDR001;;ISIN;BKR US TREASDRE ED;Renda Variável;;SEM_COBERTURA_BASE2;2fefa400-4bdc-47cf-a548-bc5b084edc70
54829603000120;;CNPJ;BRADESCO DEBÊNTURES INCENTIVADAS CDI II CLASSE DE COTAS DE INVESTIMENTO EM COTAS DE INVESTIMENTO RENDA FIXA INCENTIVADO EM INFRAESTRUTURA LONGO PRAZO;Multimercado;;SEM_COBERTURA_BASE2;051907cc-b3f4-490a-9939-a500b4cda63a
37235773000167;;CNPJ;BRADESCO OURO FICFIM;Multimercado;;SEM_COBERTURA_BASE2;dd43465f-2ecc-40a2-8f3a-39d1c463395d
33342285000106;;CNPJ;BRZ HIGH GRADE FIRF CrPr;Multimercado;;SEM_COBERTURA_BASE2;b84c88e2-ec29-403e-9ba1-60209805eea5
60571986000181;;CNPJ;BTG Apolo II FICFIDC RL;Multimercado;;SEM_COBERTURA_BASE2;a6e201bb-5294-4014-8829-513a6dd1a71c
50877951000111;;CNPJ;BTG CRED CORP DINAMICO FICFIRF CrPr;Multimercado;;SEM_COBERTURA_BASE2;b33a0f78-ce4c-48bc-bdf9-cf9525774b70
33599991000120;;CNPJ;BTG CRED CORP PLUS FIM CrPr;Multimercado;;SEM_COBERTURA_BASE2;d550b5b3-731e-4d0a-99bf-65a8a5c44924
43008233000143;;CNPJ;BTG INCORPORACAO FII RESP LIMITADA;FII-FIAgro;;SEM_COBERTURA_BASE2;13305b7d-1ca7-4a78-be09-0990f7938b3e
59658166000142;;CNPJ;BTG LOG AAA CAJAMAR FII RL SNR;FII-FIAgro;;SEM_COBERTURA_BASE2;71e3d362-4f85-494e-a31f-cd321ab4c6d8
51248141000169;;CNPJ;BTG PACTUAL INFRA DEBT FIP;Multimercado;;SEM_COBERTURA_BASE2;bd0f62fe-4a11-4f94-b288-d73f113cd441
36642497000199;;CNPJ;BTG PACTUAL INV DE IMPACTO CL B FIP MULT;Multimercado;;SEM_COBERTURA_BASE2;4806ccc3-0e58-438b-ab5f-c5b22d057dd7
50479122000180;;CNPJ;BTG PACTUAL LOGCP FII;FII-FIAgro;;SEM_COBERTURA_BASE2;c59180b9-9642-423e-9db5-0966a9c70557
36498594000150;;CNPJ;BTG REF OURO FICFIM;Multimercado;;SEM_COBERTURA_BASE2;d357e043-e814-4c21-8d8f-a0e48596c3a7
36499594000174;;CNPJ;BTG SP 500 BRL FIM;Multimercado;;SEM_COBERTURA_BASE2;e7f2a957-e246-4842-9eb3-b5a18a44083b
09215250000113;;CNPJ;BTG Tesouro Selic FIRFRefDI;Multimercado;;SEM_COBERTURA_BASE2;435f7e2d-0994-45b4-aa90-a63c2b5a35ad
54517219000191;;CNPJ;BTG Total Incentivado Infra FIRF;Multimercado;;SEM_COBERTURA_BASE2;21ed9cfa-0e74-430b-9636-a69b376eb0f5
BRBPACUNT006;;ISIN;BTGP BANCO  UNT     N2;Renda Variável;;SEM_COBERTURA_BASE2;35224e6a-e471-4668-bf35-f3a68a5fc3a9
58595391000114;;CNPJ;BTGP CRED AGRICOLA BTAG II PRE FIAGRO DC;FII-FIAgro;;SEM_COBERTURA_BASE2;ffa6868f-14d8-4b4e-9c14-0ecedfdc7ac7
60027987000160;;CNPJ;BTGP CREDITO IMOBILIARIO CDI - FII RL;FII-FIAgro;;SEM_COBERTURA_BASE2;0c2f3769-8897-4972-a363-dc8162044846
48329694000131;;CNPJ;BTGP REF MODERADO FMP FGTS CARTE LIVRE;Multimercado;;SEM_COBERTURA_BASE2;626e7906-d6b7-4e59-b375-c2e2f63c7089
Balance EUR Banking;;TICKER;Balance EUR Banking;Conta Corrente;;SEM_COBERTURA_BASE2;ff6c1444-ee0f-486a-bdba-e9883d45493f
Balance US Banking;;TICKER;Balance US Banking;Conta Corrente;;SEM_COBERTURA_BASE2;6cf05e50-8091-45a2-94bb-ea680eccee09
60759253000175;;CNPJ;Bradesco Athos FIDC RL;Multimercado;;SEM_COBERTURA_BASE2;9627f620-8435-4828-8c6d-499839c31ad7
54402012000171;;CNPJ;Bradesco Maple Valor FIC FIA;Multimercado;;SEM_COBERTURA_BASE2;2d25e3f8-37b0-4611-8e79-17e66fd33abb
4831907000153;;ISIN;Bradesco SKY DI;Multimercado;;SEM_COBERTURA_BASE2;9548f5a0-d065-4ad9-81cd-4e33afdb3fee
34109809000178;;ISIN;Bradesco Zupo CP;Multimercado;;SEM_COBERTURA_BASE2;04cdd77d-eef8-425f-bfb1-6d80b0bb0fac
28866524000189;;CNPJ;CANVAS VECTOR FICFIM;Multimercado;;SEM_COBERTURA_BASE2;cd94d709-f17d-4c8b-a789-437d12a839b7
CDB525A1OYF;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;a001b186-bb77-4ed1-ac94-14734058b5f5
CDBB23A6VEH;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;00071c8a-a05a-478a-88e8-a47b2583edd8
CDB525A1X5N;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;feb5e26a-0f37-491f-8169-7faec7abc95d
CDB5252LQX7;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;0175eefe-48b8-45b8-81fa-50c1321d10fb
CDB32695QOU;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;01979107-7c01-4bed-b195-942cfc19ae4a
CDB3259N5IO;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;01f0f2b9-8dcf-4b8a-9cf2-eb1f129e6317
CDB326CZ7KB;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;035f3749-365d-474a-ac77-a1dd5467ec2e
CDBC25C8QPP;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;fdea50b7-2264-469a-a136-e3dc1ef2e561
CDB326BXSTI;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;03cb4c95-4ab0-4966-bf14-0effc8a8d2e2
CDB32647D2P;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;03e159a9-b30d-4673-a86f-6f8cd8f3fdff
CDB625COJLM;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;fcd92c4b-bfe2-4840-bbad-9e55f3842ff8
CDBC24C51Q4;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;fc75c269-2647-4ed0-8c6e-b40dc7d61703
CDB6259S4NY;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;fc6a80a0-069f-4302-baa9-5ea94ae336ba
CDB3258OK65;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;fb54e15b-d281-47f2-80c1-4cae20af2c05
CDB223A1MEK;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;073b4bd6-4dbd-4617-82f9-29ea3d91b906
CDB925ATQM2;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;076fc260-d91a-464f-96fa-8a53057c52a9
CDB7248HHZS;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;fae4e01d-acb7-41c4-8ab6-c161040a8696
CDBB248E62V;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;f9f3ea55-8cab-493e-bbe0-bbcc4fe83919
CDB52555F5T;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;083463e1-f11d-4b66-adee-744c8fec8c2c
BRBMTNC01R92;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;f806b273-ce59-438f-87ea-4cbab64ba48d
CDB2266PKA8;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;08f3d04b-0f06-4373-a04f-e6b7e15da891
CDB92475OSF;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;f79b7135-3152-4019-b768-deacbdaa04a2
BRINTLC0A1E1;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;0961654e-fd91-4b32-afa9-936161f10cf0
CDBA246PSS7;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;f6a34643-08dc-449e-8598-0bb6fef09b27
CDB625AB8FU;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;09dab92e-5687-4600-9f75-7aa95dadf910
CDB625AB7R0;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;f65a7745-1456-4932-adb3-afdf78481c80
CDB3240M92B;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;f629913a-ee2e-434a-ab55-60650dada90e
BRINTLC0B723;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;0b1b49d9-4e14-4eef-962b-e204df4130a2
CDB7256UTV1;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;f2eef88d-7401-48fb-a64f-21205ee5d1a5
CDB624A1169;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;f27ac1f5-647c-42ac-a10e-c2e30b98f4c1
CDB126942E1;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;f26aa91b-c158-46e1-a1f4-725215cafb62
CDB6257WI7R;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;f16db204-af39-4067-b329-229c94abebc4
CDB326A7UB6;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;f112c669-7dd9-4fbd-8e5f-afc5ee5d94e3
CDBB2422FFJ;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;f0924b5d-96fa-413c-b925-60615a395343
CDB5252MBYS;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;e0a87d30-7738-4ad2-aec4-4a8c9bc7436f
CDB724BHGJK;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;e0a6b99b-ebf9-433a-9fa0-420727d87b06
CDB005QBCPF;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;df874462-6435-4c50-a208-341be9138c1e
CDB2261JWA5;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;df81926a-c2bc-4331-848f-ada88b170eb8
CDB12307UHG;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;da38a210-7fd3-4e81-8884-5ba2ef8453dd
CDB3253XWR3;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;d9a3666d-7d47-4988-80c0-e01c3a7ad7e2
CDBC25773AO;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;268c96c7-ed30-4316-be73-efc6d22b349d
CDB5266OZCB;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;d685f9e5-a497-429d-ae3d-805bddd45e1d
CDB82578G6O;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;d4293f45-a897-4f13-b438-182f6e90544e
CDB525A1XPA;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;d1db5b7c-94f5-4218-bc4b-7afff48d3fbb
CDBB239PCVV;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;d1a84e6a-d9cf-4e6f-8f0a-09d05174793a
CDB724BHGC0;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;28be133d-c4b6-4b97-94bc-f3ff67c2f412
CDB8242POMN;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;d10457c8-9f38-4d13-8053-a24f96da05e5
CDB425330BT;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;d03f2448-de32-4f39-8eda-6150efadaff2
CDB526BEJJ2;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;d034564f-6133-477e-a16f-66e05b8191b7
CDB525A1OPF;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;29191007-7181-4cc3-836d-4b5a846c80ed
CDB005O7BR8;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;2d078f87-b25a-401f-9dec-1cb60d494ec7
CDBA24B6RWJ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;2d171480-6038-4d53-b93b-f6ec03ed9acf
CDB8248N40Y;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;cdd3c518-09fe-48a3-81ef-aafd37f5adc9
CDB2251I3IC;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;2d651de5-118f-4afa-ab5c-36807a1495fb
CDB5253FWDK;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;cd6bb503-0cbd-4d8e-a556-7c7b9d7f0da4
CDB222QGGZM;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;cd3faca8-d7ce-4ec9-9505-b01a8d2cd5c8
CDB625BNN3P;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;2e3373fa-3f9d-45cd-a164-ce624aeb020d
CDB1259DJ0D;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;cce24adf-2a6b-4cfa-8433-a3a59104d8b6
CDB2236XODQ;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;2ed4d2d8-bee8-4011-8c8c-4af5b943ad7a
BRC6CSC01ND3;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;2f5d1b71-9cdc-43d7-8956-921c147b5567
CDB6251S2LG;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;cbeb5c19-6e85-42a6-bd66-142105080b3c
CDB5260X6D5;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;ca4993d8-4343-44ac-9d72-c77c7d3816d7
CDB4250RJ7W;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;c8172ca1-010e-442c-8b6d-a698145a573e
CDB525A1X7P;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;c8027e51-e522-40bb-92a6-d93370c74331
CDB4240P9YT;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;c7ff1388-f678-452d-a059-a577afb7a27f
CDBC253GBUJ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;c6dd168f-c15d-43b5-921c-fac7875fee82
CDB1261FGZL;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;c415c4e6-b284-45d6-a7bf-2a48b838ddc1
CDB62489S7U;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;3312370f-e96b-4b7f-8a07-8cc5bbac4637
CDBC245VTJA;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;c401fa20-29c9-49e6-9c1a-89c7a21f2f96
CDB322FAZQQ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;33494063-2853-4b13-ac31-abf31874aa63
CDB005N52C5;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;c32404c0-8959-4df0-955e-0753f2d70711
CDBC245W1TP;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;33799c05-f739-4352-ad94-140c1d325057
CDB5253FVYL;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;33a71473-ed2d-4262-b6eb-e2f81eceb366
CDB7258HOBE;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;c1d298a8-919d-449b-842e-be47a3c4c873
BRINTLC0AH37;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;c0d4f7e5-1d25-4f05-ad47-f37d0b033895
CDB5247ZG9Q;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;c0bf2359-747d-465e-9372-3e20e54a223d
CDB3269QGNY;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;c063c078-a60b-41d7-8020-60cce31751e1
CDB525D4SLY;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;bff705fa-c138-479f-9b37-1b45fa8f0a90
CDBC24CM6VM;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;36ec145f-d169-4e4c-b4af-06c6dd01e7d9
CDB224ALQU6;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;bddd0e47-f8d0-48d4-9bf8-0df54e5ab111
CDBC250NM1K;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;bd411d81-7dd7-403e-9365-0ec445c9fad5
CDB724BHEH2;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;bd337923-71c0-45f4-8ba8-000d1a7c0461
CDB5252LTRX;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;bcb657d0-97ba-40ff-b600-21b6755f160d
CDB7251Z91P;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;38740177-1430-4755-a3e4-eb6d74baf3b8
CDB005OD292;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;bbe40437-dd20-48a7-b08a-dfb02a70fc2a
CDB325C2IRZ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;bb2ae760-db40-40fa-b747-938e2f354b72
CDB6259S4YM;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;3a4f2783-6775-48e3-96c3-66d2243bdf2f
BRINTLC0AGQ7;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;bae6307e-91a1-4c50-adf1-a729ed8b62d0
CDB424DEODN;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;bab63efc-e1e4-4fd6-9fc7-d09cfc932416
CDB005Q6PJJ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;ba685ad2-d020-4bd3-9e97-b73391b2e0dc
CDBA246PSTK;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;3c6624ef-e4b4-448e-ab7a-bfc60bbdc2b7
CDB424CYHJU;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;b912193f-22f1-41ed-acbd-ff430a573099
CDBB25BUWP9;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;3ee080e0-c4ef-418f-a57a-a99da1f370fe
CDB005OU14P;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;b7831086-dc4c-41ba-b6e9-68589f19cfd5
CDB724384VE;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;b734034f-6016-4c1c-ac91-23190557f2cf
CDB52622ZBZ;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;408acc8d-5829-4dde-b0e6-9a75efb3cb82
CDB82491J79;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;b304ce53-aa59-40f5-be74-3b461338d585
CDB62595XXZ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;41880de1-2987-4466-b2b6-93dd8677d400
CDB625AB3PP;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;b103c43a-9eea-40b7-9191-e432abe49c91
CDBC2576D6X;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;b0af648b-e9c0-4fb4-82f7-5c78503d092b
CDB4266OU7A;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;b0433ce3-a09d-44ec-a413-28b85ad364b0
CDB4255ZZG9;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;af8b3907-6244-437c-aa9a-c0c2d40ddcba
CDB326BY7HG;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;adb05b1c-d3be-41ad-8dba-1e9cb1728b07
CDB005N52A8;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;42c84894-50f5-427f-b5ea-5614e76587d6
CDB525A1X7E;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;ad8c8ab6-015f-4502-bcd8-cb7bd6bc418e
CDB5247ZF32;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;ab0bb3f8-c072-4a60-a865-7f58803a59fc
CDB7246U5U4;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;aaf543b0-6bc9-41f2-aafc-dce86fa18f05
CDB62596PPE;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;4571c1a8-c2a6-4161-8bab-7d2e47dabb40
CDBB239PD6Y;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;45893b1f-8f3e-4bea-a96b-ab3779459a6c
CDB5256M3AR;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;45962dbb-e520-44fd-87a7-7d2bc9648a42
CDB62489USB;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;45ad2c1f-3cf0-4e4d-93f0-4083ec7d5ba5
CDBC246U176;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;aa1c0d62-3bec-4f14-be41-846ad47ea88e
CDBB23AMWQ1;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;a9c69f1c-7905-4fba-825c-f739f1aa54a9
CDB625AB8RJ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;a8e57bd3-f34a-4c21-9d9d-b57038b73d5d
CDB5252MEJN;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;46bf4a13-1042-4077-9a05-307dc37c5bbe
CDB5247ZF2O;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;a7791ff7-d13c-41d2-b1f9-5865cf388bb5
CDB3245QSCG;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;a7424435-44b0-4758-b772-0234644743d4
CDB224ALQFE;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;a62f4cd4-b89a-4627-a6a7-986e19795b30
CDB32587GB4;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;47f16493-d386-46d7-bb41-94d389e8a9c5
CDB72426UVL;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;a5f8dd6e-3db6-4d05-ba66-a7793e8d3ff4
CDB225BIZW5;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;a55853bc-e9e5-4229-bb3d-d919d39f4c44
CDBC247FV9K;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;4ab725e0-99b4-46a5-8563-684f5fe8366e
CDB326DIRK1;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;4b815cd2-1e86-46f6-8c41-9f27138431b7
CDB8253N5EF;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;4bb963a8-e254-4be4-80ea-536028841610
CDB8249WIW3;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;4c27a233-426b-48a1-8929-b12cf072e21b
CDB72427070;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;a331520e-b36e-47a8-8655-7f581375e9b9
CDBC24CM8UX;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;a318b267-ad34-42df-9471-da98b9813ba8
CDB7242RB03;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;a28dbf56-ac4b-4c91-9c97-f1bf5f134aba
CDB6251S0NQ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;4e540a66-d085-4f46-9baa-aaf77b47648c
CDB005OP390;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;4fe7edc1-dc28-4662-a358-357584b85db4
CDBB247AFGY;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;a0eb90a4-f217-4fdc-8bfa-d55ccedde60d
CDB3245Q7H1;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;a01d68b9-8957-4930-a8f7-58142259576d
CDBB240INAJ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;9f6c0f1a-b955-491a-bd13-8650f719cdd4
CDB524D0CTJ;;ISIN;CDB;RF - Prefixado;;SEM_COBERTURA_BASE2;9df914e5-0091-4955-a6b1-027a945bebd0
CDB425C8UN0;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;9c40082c-db61-4b8c-90dc-ecd5f8248dc3
CDB222EYE2R;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;52eb0a62-1795-4f07-b7a7-73a53d544397
CDB625ABA14;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;9be7eacd-89c6-40b5-aff1-c54bfc5c3da6
CDB625BNNXF;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;9b79eb51-068a-496b-b68c-c5340691d30b
CDB326CZ7JQ;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;56044118-e366-4981-aea3-88a659814f69
CDB5253FL6H;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;56383602-ecfa-4f72-9712-42cf870158f8
CDB924AMVOW;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;9a4f0c08-8a03-422c-befd-6bd8432d2b61
CDBC256TSWR;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;56e6d645-8378-4a2e-9eae-282f79948444
CDB1253N3II;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;974d6385-f91f-4ded-b7dd-4ae00472bfc7
CDB126AROX4;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;973ba504-4218-4e55-a07b-d729e099d42a
CDBC24BFRG9;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;96ff51e1-adec-4eb0-b22a-64f298fd7dd4
CDB92361I3O;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;95a4bf16-0f1a-46c2-b7ca-c659ab7c2da8
CDB424CYJAE;;ISIN;CDB;RF - Pós-fixado;;SEM_COBERTURA_BASE2;580de837-9088-4021-9d54-14d72a921ff6
BRINTLC0ALP9;;ISIN;CDB;RF - Inflação;;SEM_COBERTURA_BASE2;93efb31f-3aa5-4a4f-8a69-1cb863ceedb2
